DATA,LOJA,PREÇO
06/01/2020,ARAUJO'S DISTRIBUIDORA DE MEDICAMENTOS LTDA,"50,46"
07/01/2020,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"22,4"
07/01/2020,BONNA VITTA INDUSTRIA E COMERCIO LTDA,75
08/01/2020,MERCANTIL NOVA ERA LTDA,"139,8"
08/01/2020,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"65,96"
09/01/2020,MERCANTIL NOVA ERA LTDA,"102,46"
09/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"26,85"
11/01/2020,MERCANTIL NOVA ERA LTDA,"200,65"
11/01/2020,BONNA VITTA INDUSTRIA E COMERCIO LTDA,179
11/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"275,41"
11/01/2020,SUPERMERCADOS DB LTDA,"569,32"
11/01/2020,ATACADAO S.A.,"220,97"
11/01/2020,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"131,92"
12/01/2020,SUPERMERCADOS DB LTDA,"60,01"
13/01/2020,BEMOL S/A,334
13/01/2020,MERCANTIL NOVA ERA LTDA,"78,99"
15/01/2020,3A MANGUEIRAS E FIXADORES DA AMAZONIA LTDA,36
15/01/2020,DROGARIAS FARMABEM LTDA,4
15/01/2020,CARREFOUR COMERCIO E INDUSTRIA LTDA,"54,96"
15/01/2020,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"227,16"
16/01/2020,MERCANTIL NOVA ERA LTDA,"96,79"
18/01/2020,SUPERMERCADOS DB LTDA,"749,47"
18/01/2020,SUPERMERCADOS DB LTDA,"371,24"
18/01/2020,MERCANTIL NOVA ERA LTDA,"68,14"
18/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,177
18/01/2020,ATACADAO S.A.,"187,82"
19/01/2020,MERCANTIL NOVA ERA LTDA,"71,53"
20/01/2020,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"98,94"
22/01/2020,SUPERMERCADOS DB LTDA,"27,27"
22/01/2020,MERCANTIL NOVA ERA LTDA,"70,16"
22/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"146,95"
24/01/2020,MERCANTIL NOVA ERA LTDA,"116,91"
24/01/2020,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"190,08"
24/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"202,22"
24/01/2020,SUPERMERCADOS DB LTDA,"110,24"
25/01/2020,SUPERMERCADOS DB LTDA,"358,45"
25/01/2020,MERCANTIL NOVA ERA LTDA,"232,15"
25/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"118,56"
25/01/2020,ATACADAO S.A.,151
25/01/2020,RL COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"135,2"
26/01/2020,CARREFOUR COMERCIO E INDUSTRIA LTDA,"11,94"
28/01/2020,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"178,12"
28/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"33,51"
29/01/2020,SUPERMERCADOS DB LTDA,"179,27"
30/01/2020,SUPERMERCADOS DB LTDA,"18,99"
30/01/2020,MERCANTIL NOVA ERA LTDA,"15,88"
30/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"227,51"
31/01/2020,SUPERMERCADOS DB LTDA,"633,82"
01/02/2020,MERCANTIL NOVA ERA LTDA,"250,53"
01/02/2020,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"164,5"
01/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"304,43"
01/02/2020,ATACADAO S.A.,"335,17"
01/02/2020,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"164,9"
02/02/2020,SUPERMERCADOS DB LTDA,"38,52"
03/02/2020,REAL COMERCIO DE ARTIGOS DE ARMARINHO LTDA,"17,98"
03/02/2020,DROGARIAS FARMABEM LTDA,"15,2"
05/02/2020,SUPERMERCADOS DB LTDA,"172,68"
05/02/2020,BEMOL S/A,39
06/02/2020,MERCANTIL NOVA ERA LTDA,"57,29"
06/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"199,53"
07/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"53,53"
07/02/2020,SUPERMERCADOS DB LTDA,"468,67"
07/02/2020,IBBY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"124,78"
08/02/2020,MERCANTIL NOVA ERA LTDA,"180,47"
08/02/2020,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"22,62"
08/02/2020,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"162,6"
08/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"288,36"
08/02/2020,SUPERMERCADOS DB LTDA,"215,43"
08/02/2020,ATACADAO S.A.,"231,99"
08/02/2020,RL COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"135,2"
10/02/2020,PMZ DISTRIBUIDORA S.A,70
10/02/2020,SUPERMERCADOS DB LTDA,"49,68"
10/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"17,98"
13/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"189,59"
14/02/2020,SUPERMERCADOS DB LTDA,"772,26"
14/02/2020,IBBY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"50,16"
15/02/2020,MERCANTIL NOVA ERA LTDA,"275,46"
15/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"377,69"
15/02/2020,ATACADAO S.A.,"237,8"
15/02/2020,RL COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"170,38"
